Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
BRM Taylor,2011-2014,13,26,3,*1071*,171,46.56,2004,53.44,4,4,1,90,13
H Masakadza,2011-2014,14,28,1,*927*,158,34.33,2204,42.05,3,3,3,95,13
V Sibanda,2011-2014,11,22,0,*543*,93,24.68,1086,50,0,2,1,76,6
RW Chakabva,2011-2014,8,16,1,*495*,101,33,1215,40.74,1,3,1,44,3
TMK Mawoyo,2011-2013,8,16,1,*454*,163*,30.26,1224,37.09,1,3,2,58,0
MN Waller,2011-2014,9,18,1,*396*,72*,23.29,857,46.2,0,3,1,50,1
E Chigumbura,2011-2014,8,15,0,*382*,88,25.46,667,57.27,0,3,1,39,3
Sikandar Raza,2013-2014,4,8,0,*327*,82,40.87,551,59.34,0,4,0,42,4
CR Ervine,2011-2014,7,14,2,*286*,49,23.83,648,44.13,0,0,0,37,2
T Taibu,2011-2012,4,8,0,*273*,63,34.12,622,43.89,0,3,0,28,2
R Mutumbami,2013-2014,6,12,1,*217*,43,19.72,458,47.37,0,0,1,29,1
AG Cremer,2012-2013,5,10,1,*187*,43,20.77,504,37.1,0,0,1,15,2
SW Masakadza,2012-2014,5,9,1,*88*,24,11,240,36.66,0,0,3,9,0
TL Chatara,2013-2014,7,14,2,*82*,22,6.83,180,45.55,0,0,4,12,1
T Panyangara,2013-2014,6,12,4,*73*,24,9.12,198,36.86,0,0,2,13,0
KO Meth,2013-2013,2,4,1,*72*,31*,24,129,55.81,0,0,0,7,2
SC Williams,2013-2014,2,4,0,*64*,31,16,161,39.75,0,0,0,7,0
P Utseya,2013-2013,3,6,1,*62*,22,12.4,171,36.25,0,0,1,7,0
KM Jarvis,2011-2013,8,14,6,*58*,25*,7.25,195,29.74,0,0,4,6,1
BV Vitori,2011-2013,4,7,2,*52*,19*,10.4,84,61.9,0,0,2,7,1
GA Lamb,2011-2011,1,2,0,*46*,39,23,120,38.33,0,0,0,4,0
RW Price,2011-2013,4,8,1,*37*,12*,5.28,88,42.04,0,0,2,6,1
MA Vermeulen,2014-2014,1,2,0,*35*,21,17.5,104,33.65,0,0,0,3,0
J Nyumbu,2014-2014,2,4,0,*30*,14,7.5,98,30.61,0,0,0,2,1
BB Chari,2014-2014,2,4,0,*29*,25,7.25,120,24.16,0,0,2,2,1
F Mutizwa,2012-2012,1,2,0,*24*,18,12,61,39.34,0,0,0,3,0
T Maruma,2013-2013,1,2,0,*20*,10,10,65,30.76,0,0,0,2,0
DT Tiripano,2014-2014,1,2,1,*20*,15*,20,143,13.98,0,0,0,1,0
N Ncube,2011-2011,1,2,0,*17*,14,8.5,23,73.91,0,0,0,0,1
CB Mpofu,2011-2011,3,5,0,*10*,8,2,37,27.02,0,0,3,0,1
N M'shangwe,2014-2014,2,4,0,*8*,8,2,18,44.44,0,0,3,2,0
T Kamungozi,2014-2014,1,2,0,*5*,5,2.5,10,50,0,0,1,0,0